WorkOrderId;MeterSerial;Street;PostalCode;City;PlannedDate
WO-2026-0101;MTR-69002-0101;12 Rue de la République;69002;Lyon;2026-01-22
WO-2026-0102;MTR-69003-0102;85 Cours Lafayette;69003;Lyon;2026-01-23
WO-2026-0103;MTR-69006-0103;14 Boulevard des Belges;69006;Lyon;2026-01-24
WO-2026-0104;MTR-69007-0104;27 Avenue Jean Jaurès;69007;Lyon;2026-01-21
WO-2026-0105;MTR-69008-0105;33 Avenue des Frères Lumière;69008;Lyon;2026-01-25
WO-2026-0106;MTR-69004-0106;10 Boulevard de la Croix-Rousse;69004;Lyon;2026-01-26
WO-2026-0107;MTR-69100-0107;112 Rue du 4 Août 1789;69100;Villeurbanne;2026-01-22
WO-2026-0108;MTR-69100-0108;6 Avenue Henri Barbusse;69100;Villeurbanne;2026-01-23
WO-2026-0109;MTR-69500-0109;3 Avenue Franklin Roosevelt;69500;Bron;2026-01-24
WO-2026-0110;MTR-69300-0110;28 Avenue du Général de Gaulle;69300;Caluire-et-Cuire;2026-01-25
WO-2026-0111;MTR-69600-0111;20 Grande Rue;69600;Oullins;2026-01-26
WO-2026-0112;;8 Rue Garibaldi;69003;Lyon;2026-01-23